snake name,General: Venom Anticoagulants,General: Venom Cardiotoxins,General: Venom Haemorrhagins,General: Venom Myotoxins,General: Venom Necrotoxins,General: Venom Nephrotoxins,General: Venom Neurotoxins,General: Venom Other,General: Venom Procoagulants
Trimeresurus flavomaculatus,,Probably not present,,Present but possibly not clinically significant,,Probably not present,Probably not present,,
Trimeresurus gracilis,,,,,,,Probably not present,,
Trimeresurus labialis,,Probably not present,,,,,Probably not present,,
Trimeresurus macrolepis,,Probably not present,,,,,Probably not present,,
Trimeresurus macrops,,Probably not present,,,,,Probably not present,,
Trimeresurus malabaricus,,Probably not present,,,,,Probably not present,,
Trimeresurus medoensis,,Probably not present,,,,,Probably not present,,
Trimeresurus popeiorum,,Probably not present,,,,,Probably not present,,
Trimeresurus puniceus,,Probably not present,,,,,Probably not present,,
Trimeresurus schultzei,,Probably not present,,,,,Probably not present,,
Trimeresurus tibetanus,,Probably not present,,,,,Probably not present,,
Trimeresurus trigonocephalus,,Probably not present,,,,,Probably not present,,
Trimeresurus yunnanensis,,Probably not present,,,,,Probably not present,,
Trimeresurus karanshahi,,Probably not present,,,,,Probably not present,,
Borikenophis portoricensis,,Probably not present,,Probably not present,Probably not present,Probably not present,Probably not present,,
Borikenophis sanctaecrucis,,Probably not present,,Probably not present,Probably not present,Probably not present,Probably not present,,
Trimeresurus fucatus,,Probably not present,,,,,Probably not present,,
Trimeresurus nebularis,,Probably not present,,,,,Probably not present,,
Trimeresurus sabahi,,Probably not present,,,,,Probably not present,,
Trimeresurus barati,,Probably not present,,,,,Probably not present,,
Trimeresurus truongsonensis,,Probably not present,,,,,Probably not present,,
Trimeresurus gumprechti,,Probably not present,,,,,Probably not present,,
Trimeresurus buniana,,Probably not present,,,,,Probably not present,,
Borikenophis variegatus,,Probably not present,,Probably not present,Probably not present,Probably not present,Probably not present,,
