"brand_id","brand_name"
1,ABARTH
2,ACURA
3,AIXAM
4,ALFA ROMEO
5,ALPINA
6,AMC
7,ARO
8,AUDI
9,BARKAS
10,BENTLEY
11,BERTONE
12,BIRDIE
13,BMW
14,BUICK
15,CADILLAC
16,CHEVROLET
17,CHRYSLER
18,CITROEN
19,DACIA
20,DAEWOO
21,DAIHATSU
22,DATSUN
23,DODGE
24,DR
25,DS
26,EGYÉB
27,ELECTROAUTO
28,EXCALIBUR
29,FIAT
30,FISKER
31,FORD
32,GAC GONOW
33,GAZ
34,GMC
35,GREAT WALL
36,HONDA
37,HUMBER
38,HUMMER
39,HYUNDAI
40,INFINITI
41,ISUZU
42,JAGUAR
43,JEEP
44,KIA
45,LADA
46,LANCIA
47,LAND ROVER
48,LEXUS
49,LIGIER
50,LINCOLN
51,LONDON
52,LTI (CARBODIES)
53,MAHINDRA
54,MARUTI
55,MASERATI
56,MATRA
57,MAZDA
58,MERCEDES-AMG
59,MERCEDES-BENZ
60,MG
61,MICROCAR
62,MINI
63,MITSUBISHI
64,MORRIS
65,MOSZKVICS
66,NISSAN
67,NSU
68,OLDSMOBILE
69,OPEL
70,PEUGEOT
71,POLSKI FIAT
72,PONTIAC
73,PORSCHE
74,PROTON
75,RELIANT
76,RENAULT
77,REVA
78,ROLLS-ROYCE
79,ROVER
80,SAAB
81,SEAT
82,SIMCA
83,SKODA
84,SMART
85,SSANGYONG
86,SUBARU
87,SUZUKI
88,TALBOT
89,TATA
90,TATRA
91,TAVRIA
92,TESLA
93,TOYOTA
94,TRABANT
95,UAZ
96,VERSENYAUTÓ
97,VOLGA
98,VOLKSWAGEN
99,VOLVO
100,WARTBURG
101,YUGO
102,ZASTAVA
